답사여부,관리기관명,지정번호,보호수지정일자,보호수해지일자,보호수유형명,과명,학명,나무종류,그루수,나무나이,나무높이,가슴높이둘레,나무갓지름,나무품격명,나무지목명,지적,소유자구분,소재지도로명주소,소재지지번주소,위도,경도,데이터기준일자
X,홍성군청,06-Jan,2006-09-20,,거목,버드나무,Salix koreensis Andersson,버드나무,1,250,20,180,,시·군나무,답,,,,충청남도 홍성군 홍북면 용산리133-7,36.635482,126.7017354,2023-12-31
X,홍성군청,18-Feb,2018-07-04,,거목,모과나무,Chaenomeles sinensis Koehne,모과나무,1,250,8,130,,시·군나무,과수원,,,,충청남도 홍성군 결성면 읍내리 701-2,36.5258122,126.5405326,2023-12-31
X,홍성군청,8-12-10-8-317,1982-10-01,,거목,팽나무,Celtis sinensis Persoon,팽나무,5,245,14,230,,시·군나무,도로,,,,충청남도 홍성군 갈산면 행산리 311-1,36.5977128,126.5426202,2023-12-31
X,홍성군청,13-Feb,2013-09-05,,거목,소나무,Pinus densiflora Siebold & Zucc.,소나무,1,240,15,180,,시·군나무,대,,,,충청남도 홍성군 홍성읍 오관리 98,36.6013022,126.6586968,2023-12-31
X,홍성군청,8-12-11-1-320,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,230,16,220,,시·군나무,임야,,,,충청남도 홍성군 구항면 오봉리산54-4,36.6043303,126.6091923,2023-12-31
X,홍성군청,8-12-7-4-301,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,208,18,280,,시·군나무,대,,,,충청남도 홍성군 은하면 대율리 116-1,36.552203,126.5881913,2023-12-31
X,홍성군청,8-12-7-6-302,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,206,15,280,,시·군나무,대,,,,충청남도 홍성군 은하면 학산리 323,36.5417431,126.5717926,2023-12-31
X,홍성군청,8-12-7-1-298,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,205,17,460,,시·군나무,대,,,,충청남도 홍성군 은하면 대천리64,36.5297104,126.5914771,2023-12-31
X,홍성군청,8-12-2-10-288,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,205,13,320,,시·군나무,대,,,,충청남도 홍성군 광천읍 옹암리 277-2,36.4935245,126.6213776,2023-12-31
X,홍성군청,8-12-7-11-303,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,205,20,250,,시·군나무,대,,,,충청남도 홍성군 은하면 장척리114,36.4905524,126.6103233,2023-12-31
X,홍성군청,8-12-10-14-318,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,205,20,250,,시·군나무,답,,,,충청남도 홍성군 갈산면 운곡리 394-1,36.6199433,126.5502737,2023-12-31
X,홍성군청,8-12-7-1-299,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,204,15,270,,시·군나무,대,,,,충청남도 홍성군 은하면 장곡리 310-4,36.5525872,126.6060865,2023-12-31
X,홍성군청,8-12-11-1-319,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,202,15,260,,시·군나무,전,,,,충청남도 홍성군 구항면 오봉리216,36.6012555,126.6105785,2023-12-31
X,홍성군청,18-Apr,2018-07-04,,거목,소나무,Pinus densiflora Siebold & Zucc.,소나무,1,200,12,190,,시·군나무,종교용지,,,,충청남도 홍성군 결성면 형산리 30-3,36.5772362,126.5755411,2023-12-31
X,홍성군청,22-Aug,2022-02-07,,거목,모과나무,Chaenomeles sinensis Koehne,모과나무,1,200,11,163,,시·군나무,전,,,,충청남도 홍성군 홍북읍 대인리 125,36.643098,126.738891,2023-12-31
X,홍성군청,8-12-9-9-312,1982-10-01,,거목,팽나무,Celtis sinensis Pers.,팽나무,1,180,15,160,,시·군나무,대,,,,충청남도 홍성군 서부면 양곡리 249,36.5567818,126.4977347,2023-12-31
X,홍성군청,8-12-9-10-315,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,175,12,340,,시·군나무,대,,,,충청남도 홍성군 서부면 판교리479,36.5431302,126.5281742,2023-12-31
X,홍성군청,8-12-8-9-306,1982-10-01,,거목,느티나무,Zelkova serrata (Thunb.) Makino,느티나무,1,169,25,430,,시·군나무,대,,,,충청남도 홍성군 결성면 용호리 613,36.5735736,126.5434777,2023-12-31
X,홍성군청,8-12-8-4-304,1982-10-01,,거목,팽나무,Celtis sinensis Pers.,팽나무,1,155,15,170,,시·군나무,대,,,,충청남도 홍성군 결성면 금곡리 462-1,36.5247634,126.5534314,2023-12-31
